Id,Date,Time,Lat,Long,Dist,Depth,Direction,Xm,Md,Richter,Mw,Ms,Mb,Area
200,2003.05.20,12:17:44 AM,39.04,40.38,0.1,10,west,4.1,4.1,0,,0,0,baliklicay
201,2007.08.01,12:03:08 AM,40.79,30.09,0.1,5.2,west,4,3.8,4,,0,0,bayraktar_izmit
198,1978.05.07,12:41:37 AM,38.58,27.61,0.1,0,south_west,3.7,0,0,,0,3.7,hamzabeyli
200,1997.03.22,12:31:45 AM,39.47,36.44,0.1,10,south_west,3.5,3.5,0,,0,0,kahvepinar_sarkisla
200,2000.04.02,12:57:38 AM,40.8,30.24,0.1,7,south_west,4.3,4.3,0,,0,0,meseli_serdivan
201,2005.01.21,12:04:03 AM,37.11,27.75,0.1,32.8,south_west,3.5,3.5,0,,0,0,demirciler_milas
201,2012.06.24,12:07:22 AM,38.75,43.61,0.1,9.4,south_west,4.5,0,4.5,,0,0,ilikaynak
199,1987.12.31,12:49:54 AM,39.43,27.98,0.1,26,south_east,3.8,3.8,0,,0,0,dikkonak_bigadic
200,2000.02.07,12:11:45 AM,40.05,34.07,0.1,1,south_east,3.8,3.8,0,,0,0,kocabas_delice
201,2011.10.28,12:47:56 AM,38.76,43.54,0.1,3.1,south_east,4.3,0,4.2,,0,4.3,degirmenozu
201,2013.05.01,12:47:56 AM,37.31,37.11,0.1,9.5,south_east,3.5,0,3.5,,0,0,ordekdede_pazarcik
199,1989.04.27,12:45:19 AM,37.04,28.04,0.1,9,south,3.6,3.6,0,,0,0,kultak_milas
200,1999.11.26,12:42:20 AM,37.77,38.54,0.1,13,south,3.6,3.6,0,,0,0,zeytin_kahta
200,1999.12.20,12:41:56 AM,40.86,30.99,0.1,9,south,3.6,3.6,0,,0,0,adakoy_gumusova
198,1984.02.02,12:10:29 AM,37.21,30.81,0.1,15,north_west,3.7,0,0,,0,3.7,kayadibi_aksu
201,2011.05.22,12:49:49 AM,39.13,29.04,0.1,7.2,north_west,3.9,0,3.9,,0,0,kapikaya_simav
197,1971.05.20,12:08:46 AM,37.72,30,0.1,5,north_east,3.5,3.5,0,,0,0,kavacik
199,1985.01.28,12:20:56 AM,38.85,29.06,0.1,4,north_east,3.7,0,0,,0,3.7,karakozan_selendi
200,1997.05.31,12:59:03 AM,39.89,39.79,0.1,26,north_east,3.5,3.5,0,,0,0,baskoy_cayirli
201,2005.07.24,12:36:10 AM,36.96,36.03,0.1,22,north_east,4.1,0,4.1,,0,0,turunclu_erzin
197,1966.08.19,12:03:55 AM,39.21,41.4,0.1,14,east,5,4.7,4.7,5,4.7,4.7,tasci_varto
199,1990.07.05,12:43:04 AM,37.87,29.18,0.1,5,east,3.7,3.7,0,,0,0,eldenizli
199,1990.07.05,12:47:37 AM,37.87,29.18,0.1,6,east,3.7,3.7,0,,0,0,eldenizli
199,1985.01.07,12:37:08 AM,39.24,27.8,0.2,5,west,3.7,0,0,,0,3.7,bademli_kirkagac
199,1988.06.24,12:35:29 AM,39.51,26.19,0.2,14,west,3.5,0,0,,0,3.5,camkalabak_ayvacik
200,1999.11.16,12:49:39 AM,40.7,31.63,0.2,4,west,4,4,0,,0,0,ilicakinik
201,2006.06.09,12:53:05 AM,39.67,38.99,0.2,3.3,west,3.7,3.7,0,,0,0,tandirbasi_kemah
197,1966.08.19,12:41:18 AM,39.13,41.48,0.2,50,south_west,5,4.7,4.7,5,4.7,4.7,yedikavak_varto
197,1966.12.30,12:57:09 AM,40.74,30.74,0.2,31,south_west,4.5,4.3,4.3,4.5,4.2,4.2,suleymaniye_hendek
197,1967.05.22,12:46:02 AM,36.59,29.35,0.2,54,south_west,4.9,4.7,4.6,4.9,4.6,4.6,cobanlar_fethiye
198,1975.05.30,12:22:42 AM,38.75,27.6,0.2,9,south_west,4.2,0,4.2,,0,0,hacirahmanli_saruhanli
198,1977.08.04,12:27:34 AM,39.06,29.48,0.2,0,south_west,3.7,0,0,,0,3.7,guzungulu_gediz
198,1984.10.14,12:20:04 AM,38.75,27.6,0.2,10,south_west,3.6,0,0,,0,3.6,hacirahmanli_saruhanli
200,1996.06.30,12:22:53 AM,40.89,36.63,0.2,31,south_west,3.5,3.5,0,,0,0,beykaya_erbaa
200,1997.01.22,12:36:51 AM,36.25,36.09,0.2,18,south_west,3.6,3.6,0,,0,0,kesecik
200,1999.11.13,12:59:21 AM,40.9,31.09,0.2,2,south_west,4.2,4.2,0,,0,0,yenivakif_cilimli
200,2000.10.04,12:58:53 AM,37.9,28.95,0.2,8,south_west,3.7,3.7,0,,0,0,duacili_saraykoy
201,2005.01.27,12:23:23 AM,37.78,44.23,0.2,9,south_west,4.1,4.1,0,,0,0,ogulveren_baskale
201,2008.02.24,12:48:41 AM,37.31,38.6,0.2,9.5,south_west,3.6,3.6,0,,0,0,kesmetas_bozova
201,2008.03.29,12:12:30 AM,40.61,34.76,0.2,8.5,south_west,4.5,0,4.5,,0,0,erdek
201,2012.04.11,12:49:32 AM,39.49,27.98,0.2,7.2,south_west,3.9,0,3.9,,0,0,ciftlikkoy
201,2012.05.04,12:38:14 AM,40.31,27,0.2,12,south_west,4.3,0,4.3,,0,0,disbudak_lapseki
197,1974.01.26,12:49:20 AM,37.25,29.6,0.2,34,south_east,4.2,4,4,4.2,3.8,4.1,kucukalan_cavdir
197,1974.04.03,12:37:29 AM,38.34,27.4,0.2,5,south_east,3.8,3.8,0,,0,0,visneli_kemalpasa
198,1976.05.21,12:37:02 AM,39.28,29.16,0.2,24,south_east,4.5,0,4.4,,0,4.5,goncek_emet
198,1978.02.02,12:35:45 AM,40.42,30.15,0.2,0,south_east,3.5,0,0,,0,3.5,tasoluk_geyve
198,1979.01.19,12:36:59 AM,39.91,39.6,0.2,11,south_east,4.9,0,0,,0,4.9,aglik_kelkit
199,1994.01.09,12:48:32 AM,38.88,27.89,0.2,4,south_east,3.7,3.7,0,,0,0,kizlaralani_akhisar
200,1996.02.18,12:03:13 AM,37.17,27.64,0.2,5,south_east,3.5,3.5,0,,0,0,dorttepe_milas
200,1996.08.20,12:32:14 AM,40.68,35.34,0.2,2,south_east,4.1,4.1,0,,0,0,balgoze_merzifon
200,1997.05.29,12:46:11 AM,38.23,41.48,0.2,0,south_east,3.5,3.5,0,,0,0,tosunpinar_kozluk
200,1999.04.30,12:59:49 AM,40.73,33.02,0.2,1,south_east,3.7,3.7,0,,0,0,guzelyurt_cerkes
200,1999.11.11,12:55:25 AM,40.88,30.3,0.2,11,south_east,4.4,4.4,0,,0,0,nasuhlar_adapazari
200,2001.04.11,12:53:25 AM,37.19,36.51,0.2,14,south_east,3.8,3.8,0,,0,0,ariklikas_bahce
200,2002.01.23,12:22:11 AM,38.64,27.82,0.2,8,south_east,3.9,3.9,0,,0,0,buyukbelen_saruhanli
201,2007.02.09,12:02:12 AM,38.43,39.06,0.2,5.3,south_east,3.5,3.5,0,,0,0,gozeli_sivrice
201,2007.02.15,12:49:15 AM,38.8,40.07,0.2,5,south_east,3.7,0,3.7,,0,0,karasungur_kovancilar
202,2017.02.06,12:03:32 AM,39.53,26.12,0.2,10.8,south_east,3.6,0,3.6,0,0,0,gulpinar_ayvacik
199,1993.09.03,12:48:31 AM,40.14,27.25,0.2,10,south,3.5,3.5,0,,0,0,elmali_biga
199,1994.07.30,12:28:50 AM,39.12,27.18,0.2,5,south,3.5,3.5,0,,0,0,bergama
201,2006.07.19,12:26:19 AM,38.35,39.08,0.2,7,south,3.8,3.8,3.8,,0,0,doganbagi_sivrice
201,2014.10.21,12:03:56 AM,38.18,27.11,0.2,17.7,south,4.1,0,4.1,3.8,0,0,sasal_menderes
